T_C,P_MPa,spinel,orthopyroxene,olivine,feldspar,clinopyroxene,biotite
901.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
1218.36,500,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1213.36,500,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1208.36,500,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1203.36,500,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1198.36,500,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1193.36,500,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1188.36,500,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1183.36,500,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1178.36,500,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1173.36,500,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1168.36,500,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1163.36,500,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1158.36,500,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1153.36,500,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1148.36,500,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1143.36,500,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1138.36,500,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1133.36,500,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1128.36,500,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1123.36,500,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1118.36,500,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1113.36,500,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1108.36,500,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1103.36,500,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1098.36,500,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1093.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1088.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1083.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1078.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1073.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1068.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1063.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1058.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1053.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1048.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1043.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1038.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1033.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1028.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1023.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1018.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1013.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1008.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1003.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
998.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
993.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
988.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
983.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
978.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
973.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
968.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
963.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
958.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
953.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
948.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
943.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
938.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
933.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
928.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
923.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
918.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
913.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
908.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
903.36,500,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
